Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
08-21-2021,44837.363299187564,2013 M3,46350,1.68,-0.54,5.61
10-01-2021,44898.4146090535,2013 M3,46350,1.68,-0.54,5.61
11-11-2021,44259.21137899263,2013 M3,46350,1.68,-0.54,5.61
12-22-2021,43012.7170580561,2013 M3,46350,1.68,-0.54,5.61
02-01-2022,44215.2484375,2013 M3,46350,1.68,-0.54,5.61
03-14-2022,43344.24199084668,2013 M3,46350,1.68,-0.54,5.61
04-24-2022,43649.302690226046,2013 M3,46350,1.68,-0.54,5.61
06-04-2022,45517.04792708027,2013 M3,46350,1.68,-0.54,5.61
07-15-2022,46238.62520498524,2013 M3,46350,1.68,-0.54,5.61
08-25-2022,47522.61889918062,2013 M3,46350,1.68,-0.54,5.61
10-05-2022,47795.68799782766,2013 M3,46350,1.68,-0.54,5.61
11-15-2022,47462.430674518204,2013 M3,46350,1.68,-0.54,5.61
12-26-2022,49713.91260691707,2013 M3,46350,1.68,-0.54,5.61
02-05-2023,48946.75741318767,2013 M3,46350,1.68,-0.54,5.61
03-18-2023,46596.28782830263,2013 M3,46350,1.68,-0.54,5.61
04-28-2023,45324.05461113472,2013 M3,46350,1.68,-0.54,5.61
06-08-2023,43543.824970367445,2013 M3,46350,1.68,-0.54,5.61
07-19-2023,44519.722127659574,2013 M3,46350,1.68,-0.54,5.61
08-29-2023,45096.953493265995,2013 M3,46350,1.68,-0.54,5.61
10-09-2023,47348.059030837,2013 M3,46350,1.68,-0.54,5.61
11-19-2023,46780.84630314233,2013 M3,46350,1.68,-0.54,5.61
12-30-2023,44542.71347438753,2013 M3,46350,1.68,-0.54,5.61
02-09-2024,42916.417232597625,2013 M3,46350,1.68,-0.54,5.61
03-21-2024,40792.936433793664,2013 M3,46350,1.68,-0.54,5.61
05-01-2024,43223.05969720199,2013 M3,46350,1.68,-0.54,5.61
06-11-2024,45440.3823269774,2013 M3,46350,1.68,-0.54,5.61
07-22-2024,46863.19572708477,2013 M3,46350,1.68,-0.54,5.61
09-01-2024,48229.78692125718,2013 M3,46350,1.68,-0.54,5.61
10-12-2024,46904.666336633665,2013 M3,46350,1.68,-0.54,5.61
